0	668.793	-37.5	272.798	-87.4892	262.5	-324.76	-73.0187
1	837.229	15	-155.885	646.333	15	181.865	-119.746
2	1122.91	67.5	-64.9519	44.6709	172.5	1026.24	-198.652
3	1005.93	-45	155.885	102.892	315	-259.808	-739.429
4	904.46	-495	-25.9808	-180.53	247.5	116.913	315.779
5	1507.46	-337.5	-402.702	-461.07	517.5	454.663	436.89
6	698.387	-307.5	12.9904	-241.949	255	129.904	155.127
7	1147.97	45	-883.346	-114.338	285	233.827	-4.03132
8	1262.99	-60	129.904	-496.077	277.5	-194.856	676.851
9	943.949	-30	103.923	19.1068	765	181.865	-483.824
10	820.271	-202.5	-272.798	147.085	225	363.731	-144.326
11	873.689	-240	-415.692	-460.583	157.5	194.856	21.6592
12	831.716	-502.5	298.779	-209.087	240	181.865	146.97
13	891.866	-165	-519.615	-417.72	60	181.865	84.9971
14	754.228	-135	155.885	556.496	217.5	-64.9519	-72.6574
15	863.719	-315	181.865	-573.663	135	51.9615	152.034
16	1070.39	-270	519.615	-69.9287	375	-259.808	-419.502
17	653.641	-300	-207.846	214.33	150	207.846	-13.5872
18	883.175	-577.5	12.9904	2.37561	300	25.9808	-96.7355
19	954.449	-405	-103.923	70.6398	540	-181.865	-38.3207
20	1795.06	-937.5	324.76	654.353	420	285.788	-519.496
21	658.817	-172.5	220.836	80.0877	480	129.904	76.2825
22	638.69	-22.5	-12.9904	-154.737	232.5	506.625	115.263
23	901.997	-82.5	-298.779	-389.905	600	0	118.547
24	535.212	90	259.808	90.5786	165	-155.885	-238.095
25	1162.68	-240	545.596	-368.449	442.5	-90.9327	324.978
26	1541.62	-517.5	-818.394	-64.9628	307.5	480.644	27.0292
27	807.143	-165	415.692	133.449	322.5	-38.9711	-321.638
28	948.088	112.5	64.9519	174.392	472.5	506.625	-583.365
29	723.105	-52.5	-194.856	-56.7043	225	467.654	-140.105
30	1620.66	-645	155.885	377.381	637.5	-220.836	-539.025
31	823.62	-217.5	-38.9711	70.5688	435	155.885	-392.707
32	608.207	-180	103.923	53.7592	367.5	194.856	-195.02
33	902.968	-375	-129.904	-142.976	180	571.577	-19.4787
34	1734.4	-67.5	558.586	-30.5175	-15	-1143.15	300.367
35	802.806	-60	25.9808	177.118	-45	727.461	-213.008
36	1344.39	-75	25.9808	-213.138	705	-935.307	311.19
37	1243.02	-397.5	714.471	-139.713	367.5	-90.9327	418.137
38	735.83	157.5	90.9327	-212.205	495	0	435.307
39	693.056	-75	-77.9423	-177.511	-37.5	350.74	365.767
40	734.899	-7.5	168.875	-197.966	270	-285.788	308.346
41	886.404	-240	441.673	-365.554	202.5	-194.856	64.256
42	772.951	262.5	324.76	-299.863	270	-233.827	234.344
43	755.625	-45	-51.9615	-198.496	120	363.731	410.556
44	677.48	-37.5	272.798	121.327	390	181.865	-396.315
45	642.523	-300	259.808	45.7648	330	155.885	117.431
46	959.814	-720	129.904	208.654	202.5	90.9327	-53.4874
47	627.817	52.5	-142.894	-230.324	210	181.865	283.368
48	902.279	-15	519.615	-144.889	187.5	-246.817	286.019
49	1289.52	-322.5	142.894	74.8538	682.5	-142.894	-680.904
50	853.2	-337.5	-194.856	481.189	-112.5	90.9327	-290.595
51	734.958	45	207.846	-110.594	120	-519.615	-37.5292
52	1317.39	-15	259.808	-50.5212	780	-389.711	775.078
53	1135.43	-195	-129.904	-326.084	-172.5	610.548	534.397
54	1038.98	-135	233.827	273.692	-105	-389.711	-556.833
55	669.474	-247.5	350.74	-67.0637	120	-155.885	170.571
56	1107.2	165	-571.577	-138.353	307.5	376.721	415.105
57	805.289	-300	363.731	-1.6886	157.5	-142.894	425.53
58	1355.15	-562.5	-350.74	-408.249	600	25.9808	177.514
59	1006.98	-262.5	-12.9904	279.101	337.5	298.779	-467.1
60	762.858	-225	-259.808	40.3189	330	259.808	-22.3441
61	859.624	-352.5	376.721	-274.725	-150	-389.711	57.734
62	764.76	-300	-103.923	177.308	322.5	324.76	60.7656
63	1388.34	-82.5	-142.894	385.658	232.5	818.394	-565.229
64	926.709	-300	181.865	-428.952	202.5	12.9904	331.157
65	797.668	60	259.808	-181.175	337.5	90.9327	547.35
66	612.248	-60	-155.885	-375.394	112.5	168.875	114.118
67	1092.89	-180	233.827	504.96	345	-311.769	-283.139
68	800.134	1.1136e-14	-363.731	-8.70021	82.5	428.683	65.3913
69	440.723	-52.5	298.779	78.0869	97.5	-38.9711	-162.042
70	553.903	82.5	246.817	98.7777	127.5	-298.779	183.088
71	698.595	37.5	532.606	-295.209	157.5	-64.9519	46.199
72	893.992	22.5	-168.875	-123.494	240	467.654	465.358
73	678.978	-180	77.9423	452.077	97.5	-64.9519	-150.904
74	638.86	7.5	12.9904	240.104	202.5	64.9519	-366.045
